"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex","non_monotonic"
"Busan","Female","15-19",38196,124278,0.76491007792016,2000,15,0.76491007792016,0.746519543124879,0.971965753227336,0.0280342467726644,0.878078074107003,0.0246162574151816,4.32884972699706,17.4437089092763,19.8657834919935,TRUE
"Busan","Female","35+",177442,206917,0.538343059483452,2000,35,0.538343059483452,0.538343059483452,0.999999,1.00000000002876e-06,0.597393880643186,5.97393880660364e-07,2.98696790973123,2.98696790973123,4.9999975,TRUE
"Busan","Male","15-19",39396,126663,0.762759019384676,2000,15,0.762759019384676,0.748160329259838,0.970025685065171,0.0299743149348295,0.876392646583139,0.0262692691952517,4.31629005992756,18.1015690775967,20.6546336829396,TRUE
"Busan","Male","35+",148979,205587,0.579827168989694,2000,35,0.579827168989694,0.579827168989694,0.999999,1.00000000002876e-06,0.622172796604611,6.22172796622502e-07,3.11086242759106,3.11086242759106,4.9999975,TRUE
"Busan","Total","15-19",77592,250941,0.763822812320224,2000,15,0.763822812320224,0.747414497437294,0.97088393422977,0.0291160657702303,0.87719312167519,0.0255404126238884,4.32211457681623,17.7656045154439,20.2527859332921,TRUE
"Busan","Total","35+",326421,412504,0.558248807389113,2000,35,0.558248807389113,0.558248807389113,0.999999,1.00000000002876e-06,0.60962555150316,6.0962555152069e-07,3.04812623345192,3.04812623345192,4.9999975,TRUE
"Chungbuk","Female","35+",399897,218745,0.353588990078268,2000,35,0.353588990078268,0.353588990078268,0.999999,1.00000000002876e-06,0.346165744451675,3.4616574446163e-07,1.73082785684402,1.73082785684402,4.9999975,TRUE
"Chungbuk","Male","10-14",8983,37988,0.808754337782887,2000,10,0.808754337782887,0.80558896125896,0.899948880649285,0.100051119350715,0.924395551786787,0.0924868096790899,4.39076073473621,17.8528998154455,19.31305249245,TRUE
"Chungbuk","Male","35+",351037,229419,0.395239260167868,2000,35,0.395239260167868,0.395239260167868,0.999999,1.00000000002876e-06,0.434094258870665,4.34094258883147e-07,2.17047020911768,2.17047020911768,4.9999975,TRUE
"Chungbuk","Total","35+",750934,448164,0.373750936120317,2000,35,0.373750936120317,0.373750936120317,0.999999,1.00000000002876e-06,0.390673785250472,3.90673785261706e-07,1.9533679495679,1.9533679495679,4.9999975,TRUE
"Chungnam","Female","35+",712639,337081,0.321115154517395,2000,35,0.321115154517395,0.321115154517395,0.999999,1.00000000002876e-06,0.259999519354166,2.59999519361642e-07,1.29999694677203,1.29999694677203,4.9999975,TRUE
"Chungnam","Male","35+",642630,335167,0.342777693120351,2000,35,0.342777693120351,0.342777693120351,0.999999,1.00000000002876e-06,0.337540206427629,3.37540206437335e-07,1.68770018828763,1.68770018828763,4.9999975,TRUE
"Chungnam","Total","35+",1355269,672248,0.331562201451332,2000,35,0.331562201451332,0.331562201451332,0.999999,1.00000000002876e-06,0.299628332021298,2.99628332029914e-07,1.49814091103566,1.49814091103566,4.9999975,TRUE
"Daegu","Female","15-19",16628,71488,0.811294203095919,2000,15,0.811294203095919,0.802750217373197,0.964334114273049,0.0356658857269512,0.922029299369225,0.0328849916282036,4.52793401777561,17.647944510588,19.1403294045658,TRUE
"Daegu","Female","35+",131589,144549,0.523466527605762,2000,35,0.523466527605762,0.523466527605762,0.999999,1.00000000002876e-06,0.587634873469408,5.87634873486306e-07,2.93817289825986,2.93817289825986,4.9999975,TRUE
"Daegu","Male","10-14",15365,77148,0.833915233534747,2000,10,0.833915233534747,0.824522957758874,0.986679993992925,0.0133200060070751,0.936645886207956,0.0124761288307921,4.6520391089628,23.1586599394667,24.725096517773,TRUE
"Daegu","Male","35+",102640,147233,0.589231329515394,2000,35,0.589231329515394,0.589231329515394,0.999999,1.00000000002876e-06,0.652961993786911,6.52961993805687e-07,3.26480833652957,3.26480833652957,4.9999975,TRUE
"Daegu","Total","10-14",30831,136912,0.816200974109203,2000,10,0.816200974109203,0.812807338278826,0.999555114925524,0.000444885074475709,0.928152383807836,0.000412921142395156,4.63972961618319,22.7340157085469,24.4938397025695,TRUE
"Daegu","Total","35+",234229,291782,0.55470703084156,2000,35,0.55470703084156,0.55470703084156,0.999999,1.00000000002876e-06,0.620468926529155,6.20468926546996e-07,3.10234308147346,3.10234308147346,4.9999975,TRUE
"Daejeon","Female","15-19",7004,30828,0.814865722139987,2000,15,0.814865722139987,0.784970467276384,0.925177932323634,0.0748220676763657,0.931897125713999,0.0697264698075835,4.48516945405103,17.002118567836,18.2446303338573,TRUE
"Daejeon","Male","10-14",8119,32773,0.801452606866869,2000,10,0.801452606866869,0.794576863784062,0.994879934992521,0.00512006500747908,0.921406815745273,0.00471766279495009,4.59523992173899,22.9645883979876,24.9233975759262,TRUE
"Daejeon","Male","35+",53857,68975,0.561539338283184,2000,35,0.561539338283184,0.561539338283184,0.999999,1.00000000002876e-06,0.644655043625168,6.44655043643705e-07,3.22327360648823,3.22327360648823,4.9999975,TRUE
"Daejeon","Total","10-14",16502,59859,0.783894920181768,2000,10,0.783894920181768,0.789621899948713,0.999999,1.00000000002876e-06,0.925965905205097,9.25965905231723e-07,4.62982721111072,22.3173050620756,24.1016488151715,TRUE
"Daejeon","Total","15-19",15197,61744,0.802485020990109,2000,15,0.802485020990109,0.789621899948713,0.92475774991368,0.0752422500863201,0.925964979239191,0.0696716885390895,4.45564567484823,17.6874778509649,19.1016704168419,TRUE
"Gangwon","Female","35+",367567,243336,0.398321828506326,2000,35,0.398321828506326,0.398321828506326,0.999999,1.00000000002876e-06,0.303513981902186,3.03513981910913e-07,1.51756915072597,1.51756915072597,4.9999975,TRUE
"Gangwon","Male","35+",310737,238137,0.433864602805015,2000,35,0.433864602805015,0.433864602805015,0.999999,1.00000000002876e-06,0.383359718929931,3.83359718940955e-07,1.91679763625036,1.91679763625036,4.9999975,TRUE
"Gangwon","Total","35+",678304,481473,0.415142738647171,2000,35,0.415142738647171,0.415142738647171,0.999999,1.00000000002876e-06,0.344127365248292,3.44127365258188e-07,1.72063596592305,1.72063596592305,4.9999975,TRUE
"Gwangju","Female","10-14",9079,30586,0.771108029749149,2000,10,0.771108029749149,0.773522638407656,0.999999,1.00000000002876e-06,0.914592581571212,9.14592581597511e-07,4.5729606213746,20.1167440361822,21.9953063708683,TRUE
"Gwangju","Female","15-19",9657,33943,0.778509174311927,2000,15,0.778509174311927,0.773522638407656,0.876862823534229,0.123137176465771,0.91459166697863,0.112620235490871,4.29140774616597,15.5437834148076,16.9953258661942,TRUE
"Gwangju","Female","35+",86229,65358,0.431158344712937,2000,35,0.431158344712937,0.431158344712937,0.999999,1.00000000002876e-06,0.492521748778973,4.92521748793135e-07,2.46260751259049,2.46260751259049,4.9999975,TRUE
"Gwangju","Total","15-19",20837,69415,0.769124229933963,2000,15,0.769124229933963,0.76785470537413,0.900124459290421,0.0998755407095786,0.903189220685761,0.0902065117790533,4.29042982398117,16.3207306484287,18.0701123027542,TRUE
"Gwangju","Total","35+",157699,131987,0.455620913678949,2000,35,0.455620913678949,0.455620913678949,0.999999,1.00000000002876e-06,0.535847836287434,5.35847836302843e-07,2.67923784181758,2.67923784181758,4.9999975,TRUE
"Gyeongbuk","Female","35+",928024,545876,0.370361625619106,2000,35,0.370361625619106,0.370361625619106,0.999999,1.00000000002876e-06,0.322456769803607,3.22456769812879e-07,1.61228304287611,1.61228304287611,4.9999975,TRUE
"Gyeongbuk","Male","35+",867603,507733,0.369170151875614,2000,35,0.369170151875614,0.369170151875614,0.999999,1.00000000002876e-06,0.375475643699678,3.75475643710475e-07,1.87737727980928,1.87737727980928,4.9999975,TRUE
"Gyeongbuk","Total","35+",1795627,1053609,0.369786497152219,2000,35,0.369786497152219,0.369786497152219,0.999999,1.00000000002876e-06,0.349673149141441,3.49673149151497e-07,1.74836487152433,1.74836487152433,4.9999975,TRUE
"Gyeongnam","Female","35+",678891,546695,0.446068248168631,2000,35,0.446068248168631,0.446068248168631,0.999999,1.00000000002876e-06,0.473933823005138,4.73933823018766e-07,2.36966793019113,2.36966793019113,4.9999975,TRUE
"Incheon","Female","10-14",16426,54960,0.769898859720393,2000,10,0.769898859720393,0.761739734671067,0.963445299608607,0.0365547003913929,0.87416481268624,0.0319548328204436,4.29093698138009,22.5812626913783,25.8318138223704,TRUE
"Incheon","Male","15-19",15474,52726,0.773108504398827,2000,15,0.773108504398827,0.765729341558039,0.930500744145898,0.069499255854102,0.897170863523555,0.0623527073888692,4.3299725491456,20.3775496031985,22.713120133179,TRUE
"Incheon","Male","25-29",15234,37836,0.712945166760882,2000,25,0.712945166760882,0.712511722134104,0.966036392604453,0.0339636073955473,0.83481732131653,0.0283534077481971,4.10320308721216,11.8734883604248,14.2228581717735,TRUE
"Incheon","Total","10-14",34477,111608,0.763993565390013,2000,10,0.763993565390013,0.762826109618083,0.987557494755638,0.0124425052443616,0.884778906311384,0.0110088661818799,4.39637236610222,23.7329931797219,26.8236426189951,TRUE
"Jeju","Female","10-14",1171,14288,0.924251245229316,2000,10,0.924251245229316,0.908483890331194,0.974323901162403,0.025676098837597,0.983817036391279,0.0252605834644943,4.85593372329516,23.4666350615961,23.8526414908138,TRUE
"Jeju","Female","35+",36314,93773,0.720848355331432,2000,35,0.720848355331432,0.720848355331432,0.999999,1.00000000002876e-06,0.686986838564234,6.86986838583989e-07,3.43493247535407,3.43493247535407,4.9999975,TRUE
"Jeju","Male","35+",26954,77344,0.741567431782009,2000,35,0.741567431782009,0.741567431782009,0.999999,1.00000000002876e-06,0.786207602016043,7.86207602038651e-07,3.93103604456121,3.93103604456121,4.9999975,TRUE
"Jeju","Total","10-14",3238,28699,0.898612894135329,2000,10,0.898612894135329,0.893195642944944,0.983864081014015,0.0161359189859852,0.961754987238645,0.01551880055845,4.7699779347971,24.3376624653028,25.3054705078059,TRUE
"Jeju","Total","35+",63268,171117,0.730068050429848,2000,35,0.730068050429848,0.730068050429848,0.999999,1.00000000002876e-06,0.736699951008061,7.36699951029245e-07,3.68349791329043,3.68349791329043,4.9999975,TRUE
