"year","org_admin","agegr","Male","Female","Total"
2020,"Total","35+",0.503887326534382,0.472556763640023,0.487733467190452
2020,"Seoul","35+",0.566851502984335,0.567266477784324,0.567358479193493
2020,"Busan","35+",0.556042780721551,0.548926227967047,0.553512898976781
2020,"Daegu","35+",0.586992551203773,0.614545447768527,0.604771331325366
2020,"Incheon","35+",0.602210803878976,0.612731160172443,0.60733431848629
2020,"Gwangju","35+",0.56389774541392,0.543391780338628,0.55465841735306
2020,"Daejeon","35+",0.569119679807765,0.571494291373385,0.570498732691817
2020,"Ulsan","35+",0.535583400686032,0.561380932742133,0.546982123701789
2020,"Sejong","35+",0.389759881758001,0.349905629820085,0.371298673944393
2020,"Gyeonggi","35+",0.733897568582785,0.707027057692039,0.726380899985919
2020,"Gangwon","35+",0.409527380778585,0.384573660872293,0.407484194096696
2020,"Chungbuk","35+",0.462335673565114,0.390827618842221,0.425651042335688
2020,"Chungnam","35+",0.370569283840182,0.322388549824257,0.345745161099754
2020,"Jeonbuk","35+",0.408926317538551,0.402600705069916,0.405511162997902
2020,"Jeonnam","35+",0.315216958308413,0.296943498158185,0.305626778373512
2020,"Gyeongbuk","35+",0.395482068155258,0.382872576381439,0.389060076265462
2020,"Gyeongnam","35+",0.519213042197782,0.501392143261787,0.509945196807699
2020,"Jeju","35+",0.618943266063699,0.691655755885556,0.654251124699463
