"index","org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex"
"1","Busan","Female","60-64",8441,10899,0.563547052740434,0.662861153649699,1.16410377300805,-0.164103773008052,0.662861153649699,-0.108778016294386,3.58625080898446,24.8573914010711,37.5001480539428
"1","Busan","Female","65-69",5453,10400,0.656027250362707,0.771639169944085,1.09297101348194,-0.0929710134819393,0.771639169944085,-0.071740075672064,4.03754603890058,21.2711405920866,27.5661752547217
"1","Busan","Female","70-74",3121,7908,0.717018768700698,0.843379245616149,1.03085668651437,-0.0308566865143736,0.843379245616149,-0.0260238889947064,4.28195595056751,17.233594553186,20.4339799002235
"1","Busan","Female","75-79",1724,4885,0.739143592071418,0.869403134610855,1.03237743317801,-0.0323774331780127,0.869403134610855,-0.0281490418956177,4.41738827779332,12.9516386026185,14.8971611523067
"1","Busan","Female","80-84",829,2670,0.763075164332666,0.897552176506473,0.934448165163005,0.0655518348369954,0.897552176506473,0.0588361920319381,4.34067040245252,8.5342503248252,9.50836123872253
"1","Busan","Female","85+",466,1158,0.713054187192118,0.838715984474535,1,0,0.838715984474535,0,4.19357992237267,4.19357992237267,5
"1","Busan","Male","0-4",17147,100042,0.853680806219014,1,0.907834443422334,0.0921655565776657,1,0.0921655565776657,4.76958610855584,69.8810320990322,69.8810320990322
"1","Busan","Male","5-9",33499,115386,0.775000839574168,0.907834443422334,0.94653012187453,0.0534698781254703,0.907834443422334,0.0485417970478964,4.41781772449193,65.1114459904764,71.7217180535921
"1","Busan","Male","10-14",38823,106888,0.733561639135,0.859292646374438,1.03980221796236,-0.0398022179623587,0.859292646374438,-0.0342017532044474,4.38196761488331,60.6936282659845,70.6320815406317
"1","Busan","Male","15-19",39396,126663,0.762759019384676,0.893494399578885,0.951460051582627,0.0485399484173732,0.893494399578885,0.0433701720667709,4.3590465677275,56.3116606511012,63.02407790988
"1","Busan","Male","20-24",32877,86996,0.725734735928858,0.850124227512114,0.913469542065087,0.0865304579349127,0.850124227512114,0.0735616387081871,4.0667170407901,51.9526140833737,61.1117909619078
"1","Busan","Male","25-29",48495,95380,0.662936576889661,0.776562588803927,0.801189820269802,0.198810179730198,0.776562588803927,0.154388547851857,3.49684157438999,47.8858970425836,61.6639247537511
"1","Busan","Male","30-34",54832,62115,0.531138036888505,0.62217404095207,1.04319731716012,-0.043197317160117,0.62217404095207,-0.0268762493757982,3.17806082819985,44.3890554681936,71.3450779789334
"1","Busan","Male","35-39",41519,51590,0.55408177512378,0.649050290327868,0.999543621926599,0.000456378073401487,0.649050290327868,0.000296212321040508,3.24451092083674,41.2109946399937,63.4943012184402
"1","Busan","Male","40-44",42579,52853,0.553828904350742,0.648754078006828,1.00699542489672,-0.00699542489672056,0.648754078006828,-0.00453831042913796,3.25511616610698,37.966483719157,58.5221503898699
"1","Busan","Male","45-49",29748,37510,0.55770317285676,0.653292388435966,1.05848912116645,-0.0584891211664538,0.653292388435966,-0.0382104976643532,3.36198818634071,34.71136755305,53.1329740977876
"1","Busan","Male","50-54",16451,23705,0.590322741308895,0.691502886100319,1.13620265664339,-0.136202656643392,0.691502886100319,-0.0941845301634367,3.69297575591019,31.3493793667093,45.3351388647152
"1","Busan","Male","55-59",7381,15035,0.670726266952177,0.785687416263756,1.00438995323106,-0.00438995323105806,0.785687416263756,-0.00344913101162874,3.93705990884785,27.6564036107991,35.2002629013913
"1","Busan","Male","60-64",5094,10516,0.673670723894939,0.789136547275385,1.02147080735638,-0.0214708073563763,0.789136547275385,-0.0169433987844257,3.98804123333799,23.7193437019512,30.05733771151
"1","Busan","Male","65-69",3438,7586,0.688134978229318,0.80607994605981,0.998789826028627,0.00121017397137313,0.80607994605981,0.000975496969567439,4.02796098787513,19.7313024686133,24.4780962050496
"1","Busan","Male","70-74",1581,3475,0.687302215189873,0.805104449090243,1.10486863967208,-0.104868639672084,0.805104449090243,-0.0844302083700365,4.2365977663763,15.7033414807381,19.5047257514012
"1","Busan","Male","75-79",821,2591,0.759378663540445,0.889534657460279,0.934550117652918,0.0654498823470823,0.889534657460279,0.0582199386744274,4.30212344061533,11.4667437143618,12.8907217028515
"1","Busan","Male","80-84",207,506,0.709677419354839,0.831314718785852,0.815789473684211,0.184210526315789,0.831314718785852,0.153136921881604,3.77373128922525,7.16462027374649,8.61842105263158
"1","Busan","Male","85+",160,220,0.578947368421053,0.678177796904248,1,0,0.678177796904248,0,3.39088898452124,3.39088898452124,5
"1","Chungbuk","Female","0-4",5981,41642,0.874409424017807,1,0.909177695439415,0.0908223045605854,1,0.0908223045605854,4.77294423859854,49.5531920326846,49.5531920326846
"1","Chungbuk","Female","5-9",9369,36332,0.794993544999015,0.909177695439415,0.974609494212716,0.0253905057872842,0.909177695439415,0.0230844815377242,4.48817727335276,44.7802477940861,49.2535705821988
"1","Chungbuk","Female","10-14",9513,32731,0.774808256793864,0.88609321390169,0.913703017120898,0.0862969828791025,0.88609321390169,0.0764671709093631,4.23929814223504,40.2920705207333,45.4715936073105
"1","Chungbuk","Female","15-19",16186,39235,0.707944641922737,0.809626042992327,0.796449471357353,0.203550528642647,0.809626042992327,0.164799809053943,3.63613069232678,36.0527723784983,44.5301540020248
"1","Chungbuk","Female","20-24",28557,36917,0.563842135809634,0.644826233938385,0.740838690096443,0.259161309903557,0.644826233938385,0.167114011447649,2.8063461410728,32.4166416861715,50.2719026925772
"1","Chungbuk","Female","25-29",48690,34929,0.41771606931439,0.477712222490735,0.724633104032584,0.275366895967416,0.477712222490735,0.13154613187297,2.05969578277125,29.6102955450987,61.9835418711166
"1","Chungbuk","Female","30-34",70848,30754,0.302690891911577,0.346166090617766,0.934468750401144,0.0655312495988556,0.346166090617766,0.0226846964869329,1.6741187118715,27.5505997623274,79.5878062844364
"1","Chungbuk","Female","35-39",83490,32930,0.282855179522419,0.323481394130833,1.0024286607507,-0.00242866075069981,0.323481394130833,-0.000785626565507209,1.61937103706793,25.8764810504559,79.9937230392611
"1","Chungbuk","Female","40-44",83779,33156,0.283542138795057,0.32426702069634,1.03122991517504,-0.0312299151750395,0.32426702069634,-0.0101268315504095,1.64665218235773,24.257110013388,74.8059730567036
"1","Chungbuk","Female","45-49",63046,26052,0.292397135738176,0.33439385224675,1.18025262202008,-0.180252622020085,0.33439385224675,-0.0602753686548734,1.82265768287093,22.6104578310303,67.6162485617289
"1","Chungbuk","Female","50-54",38117,20086,0.345102486126145,0.394669220901623,1.08116540285829,-0.0811654028582918,0.394669220901623,-0.0320334863102484,2.05342982028374,20.7878001481593,52.671450032687
"1","Chungbuk","Female","55-59",38368,22836,0.373112868439971,0.426702707211871,1.21252423957248,-0.212524239572483,0.426702707211871,-0.0906846683737227,2.36022520699366,18.7343703278756,43.9049718017687
"1","Chungbuk","Female","60-64",31354,25904,0.452408397079884,0.517387375585594,1.00601503739765,-0.00601503739764508,0.517387375585594,-0.00311210441321679,2.59471713896101,16.3741451208819,31.6477476906915
"1","Chungbuk","Female","65-69",24165,20185,0.455129650507328,0.520499479998811,1.07199950004651,-0.0719995000465095,0.520499479998811,-0.0374757023343825,2.69618665583001,13.7794279819209,26.4734711780162
"1","Chungbuk","Female","70-74",17562,16732,0.487898757800198,0.557975182333194,1.11902838252906,-0.119028382529062,0.557975182333194,-0.0664148834444787,2.95591312027716,11.0832413260909,19.863323095744
"1","Chungbuk","Female","75-79",9960,11977,0.545972557779095,0.624390065777672,0.889777778992581,0.110222221007419,0.624390065777672,0.0688216598249832,2.9498961793259,8.12732820581374,13.0164277929234
"1","Chungbuk","Female","80-84",6063,5728,0.485794249851582,0.555568405952689,0.909221611839639,0.0907783881603613,0.555568405952689,0.0504336044052064,2.65175801875043,5.17743202648784,9.31916208879729
"1","Chungbuk","Female","85+",3993,3159,0.441694630872483,0.505134801547483,1,0,0.505134801547483,0,2.52567400773741,2.52567400773741,5
"1","Chungbuk","Male","0-4",6678,45281,0.871475586520141,1,0.920764272857216,0.0792357271427838,1,0.0792357271427838,4.80191068214304,56.1882728974265,56.1882728974265
"1","Chungbuk","Male","5-9",10924,44366,0.802423584735034,0.920764272857216,1.00788954009863,-0.0078895400986303,0.920764272857216,-0.00726440665209318,4.62198238091631,51.3863622152835,55.8083797667636
"1","Chungbuk","Male","10-14",8983,37988,0.808754337782887,0.92802867950931,0.896426578602225,0.103573421397775,0.92802867950931,0.0961191054920387,4.39984563381645,46.7643798343671,50.3910933648016
"1","Chungbuk","Male","15-19",16081,42393,0.724988883948422,0.831909574017271,0.799340055693458,0.200659944306542,0.831909574017271,0.166930928790384,3.74222054811039,42.3645342005507,50.9244460259946
"1","Chungbuk","Male","20-24",21415,29514,0.57951265487247,0.664978645226886,0.791394025436873,0.208605974563127,0.664978645226886,0.138718518351223,2.97809693025638,38.6223136524403,58.0805322541788
"1","Chungbuk","Male","25-29",44878,38018,0.458622852731133,0.526260126875664,0.824867978574872,0.175132021425128,0.526260126875664,0.0921649998151792,2.40088813484037,35.6442167221839,67.7311749491623
"1","Chungbuk","Male","30-34",64907,39496,0.378303305460571,0.434095127060485,0.906742786617077,0.093257213382923,0.434095127060485,0.0404825018927667,2.06926938057051,33.2433285873436,76.5807458205159
"1","Chungbuk","Male","35-39",85265,44519,0.343023793379769,0.393612625167718,1.03823298845868,-0.0382329884586785,0.393612625167718,-0.0150489869552275,2.00568559322666,31.174059206773,79.1998457709272
"1","Chungbuk","Male","40-44",74968,41467,0.35613861811311,0.408661612122946,1.00350623364333,-0.00350623364333202,0.408661612122946,-0.00143286309316377,2.04689021834764,29.1683736135464,71.3753696169806
"1","Chungbuk","Male","45-49",57830,32162,0.357387323317628,0.410094475216109,1.01195757370347,-0.0119575737034723,0.410094475216109,-0.00490373491278341,2.0627317133625,27.1214833951988,66.1347202517333
"1","Chungbuk","Male","50-54",39773,22534,0.361660808576885,0.414998210128893,1.11318362825267,-0.113183628252673,0.414998210128893,-0.0469710031407532,2.19241855849635,25.0587516818362,60.3827946006161
"1","Chungbuk","Male","55-59",33981,22900,0.402594891088413,0.461969213269646,1.15006041284465,-0.150060412844649,0.461969213269646,-0.0693232908647606,2.48315429351013,22.8663331233399,49.4975259530836
"1","Chungbuk","Male","60-64",26892,23187,0.463008446654286,0.531292504134406,1.17522954318955,-0.17522954318955,0.531292504134406,-0.0930981427995041,2.88920787767079,20.3831788298298,38.3652671009136
"1","Chungbuk","Male","65-69",15651,18682,0.54414120525442,0.62439064693391,1.04480361523853,-0.0448036152385296,0.62439064693391,-0.0279749583037635,3.19189063042896,17.493970952159,28.0176697682191
"1","Chungbuk","Male","70-74",8797,11591,0.568520698450069,0.652365605237674,1.06153270531416,-0.0615327053141566,0.652365605237674,-0.0401418205441812,3.36218257754882,14.30208032173,21.9234125878224
"1","Chungbuk","Male","75-79",4844,7373,0.603503315052795,0.692507425781855,0.992419578337275,0.00758042166272455,0.692507425781855,0.00524949829199439,3.44941338317929,10.9398977441812,15.7975168740318
"1","Chungbuk","Male","80-84",2171,3242,0.598928505449843,0.687257927489861,1.11987834773283,-0.119878347732828,0.687257927489861,-0.0823873448137722,3.64225799948374,7.4904843610019,10.8990876079962
"1","Chungbuk","Male","85+",865,1762,0.670727065093262,0.769645272303633,1,0,0.769645272303633,0,3.84822636151817,3.84822636151817,5
"1","Chungnam","Female","0-4",8116,48391,0.856371776947989,1,0.911968048944544,0.0880319510554556,1,0.0880319510554556,4.77992012236136,46.5293178747492,46.5293178747492
"1","Chungnam","Female","5-9",10923,38950,0.78098369859443,0.911968048944544,0.948307581028016,0.0516924189719836,0.911968048944544,0.0471418344751039,4.44198565853496,41.7493977523878,45.7794522524183
"1","Chungnam","Female","10-14",13512,38580,0.740612762036397,0.86482621446944,0.856817289561125,0.143182710438875,0.86482621446944,0.123828161446326,4.01456066873139,37.3074120938529,43.1386230778636
"1","Chungnam","Female","15-19",28224,49011,0.634569819382404,0.740998053023114,0.616559591778558,0.383440408221442,0.740998053023114,0.284128595942477,2.99466877525938,33.2928514251215,44.9297421083547
"1","Chungnam","Female","20-24",62949,40458,0.391250108793409,0.456869457080638,0.709537170689288,0.290462829310712,0.456869457080638,0.132703595129291,1.95258829757996,30.2981826498621,66.3169362282724
"1","Chungnam","Female","25-29",100987,38808,0.277606495225151,0.324165861951347,0.802057865652021,0.197942134347979,0.324165861951347,0.0641660825974017,1.46041410326323,28.3455943522821,87.4416392326237
"1","Chungnam","Female","30-34",122521,35094,0.222656473051423,0.259999779353945,0.913445658623241,0.0865543413767589,0.259999779353945,0.0225041096600833,1.24373862261952,26.8851802490189,103.404627172469
"1","Chungnam","Female","35-39",146821,37485,0.203384588673185,0.237495669693862,1.10451354283179,-0.104513542831788,0.237495669693862,-0.0248215138469135,1.24953213308659,25.6414416263994,107.965933271339
"1","Chungnam","Female","40-44",145852,42257,0.224641032592805,0.262317183540775,1.10892757792982,-0.108927577929823,0.262317183540775,-0.0285735754524694,1.38301985633505,24.3919094933128,92.9863197068113
"1","Chungnam","Female","45-49",109970,36483,0.249110636176794,0.290890758993244,1.12652606723634,-0.126526067236335,0.290890758993244,-0.0368052637308078,1.54646695429324,23.0088896369777,79.0980425662546
"1","Chungnam","Female","50-54",85736,33446,0.280629625278985,0.327696022724052,1.34587416489588,-0.345874164895877,0.327696022724052,-0.113341588199382,1.92183408411872,21.4624226826845,65.4949135612723
"1","Chungnam","Female","55-59",62672,38037,0.377692162567397,0.441037610923434,1.16961472890976,-0.169614728909756,0.441037610923434,-0.0748064748157849,2.39220424165663,19.5405885985658,44.3059460567369
"1","Chungnam","Female","60-64",53447,42294,0.441754316332606,0.515844085739219,1.13947040385492,-0.139470403854922,0.515844085739219,-0.0719449829642221,2.75908288610665,17.1483843569092,33.2433478079622
"1","Chungnam","Female","65-69",39616,40153,0.503365969236169,0.587789068703441,1.00325048424602,-0.00325048424601548,0.587789068703441,-0.00191059910780065,2.94372184128671,14.3893014708025,24.4803829076692
"1","Chungnam","Female","70-74",28747,29328,0.505002152389152,0.589699667811242,0.96398464628209,0.0360153537179099,0.589699667811242,0.0212382421235558,2.89540273374732,11.4455796295158,19.4091675038546
"1","Chungnam","Female","75-79",21873,20749,0.486814321242551,0.568461425687686,0.980154838475826,0.0198451615241745,0.568461425687686,0.0112812088130346,2.81410410640584,8.55017689576848,15.0409095664232
"1","Chungnam","Female","80-84",10756,9816,0.477153412405211,0.557180216874651,1.03930999118802,-0.0393099911880217,0.557180216874651,-0.0219027494154826,2.84065795791196,5.73607278936263,10.2948249339102
"1","Chungnam","Female","85+",7149,7033,0.495910308842194,0.579082966290134,1,0,0.579082966290134,0,2.89541483145067,2.89541483145067,5
"1","Chungnam","Male","0-4",6915,50655,0.879885356956748,1,0.904339178361148,0.0956608216388523,1,0.0956608216388523,4.76084794590287,50.2651587712819,50.2651587712819
"1","Chungnam","Male","5-9",11899,46348,0.795714800762271,0.904339178361148,0.930077000578758,0.0699229994212421,0.904339178361148,0.0632341078451531,4.36361062219286,45.504310825379,50.3177479359485
"1","Chungnam","Male","10-14",15178,43216,0.740076035209097,0.841105070515995,0.871172041100429,0.128827958899571,0.841105070515995,0.108357849454655,3.93463072894334,41.1407002031862,48.9126764839825
"1","Chungnam","Male","15-19",28400,51540,0.644733550162622,0.73274722106134,0.726860611333178,0.273139388666822,0.73274722106134,0.200142128008007,3.16338078528668,37.2060694742428,50.7761318021133
"1","Chungnam","Male","20-24",41451,36557,0.468631422418214,0.532605093053332,0.766656335697018,0.233343664302982,0.532605093053332,0.124280024039495,2.35232540516792,34.0426886889562,63.917317226156
"1","Chungnam","Male","25-29",84167,47196,0.359279249103629,0.408325069013837,0.826646634220577,0.173353365779423,0.408325069013837,0.0707845250456639,1.86466403245503,31.6903632837882,77.610623712928
"1","Chungnam","Male","30-34",112742,47630,0.296996982016811,0.337540543968173,0.927400499156694,0.0725995008433058,0.337540543968173,0.0245052750064673,1.6264395323247,29.8256992513332,88.3618272954656
"1","Chungnam","Male","35-39",140867,53549,0.275435149370422,0.313035268961706,0.947353966976077,0.052646033023923,0.313035268961706,0.0164800651074106,1.52397618204,28.1992597190085,90.0833309056245
"1","Chungnam","Male","40-44",140857,49731,0.260934581400718,0.296555203854295,1.10895507748006,-0.108955077480059,0.296555203854295,-0.0323111952130595,1.56355400730412,26.6752835369685,89.9504820359677
"1","Chungnam","Male","45-49",105901,43122,0.28936472893446,0.328866399067355,1.08539750991625,-0.0853975099162498,0.328866399067355,-0.0280843715754758,1.71454292427546,25.1117295296644,76.3584531617695
"1","Chungnam","Male","50-54",85781,39278,0.314075756243053,0.35695077064283,1.13352506305031,-0.133525063050306,0.35695077064283,-0.0476618741559392,1.903908538604,23.3971866053889,65.5473766403504
"1","Chungnam","Male","55-59",61258,33865,0.356012741397979,0.40461264479877,1.31719019979832,-0.317190199798321,0.40461264479877,-0.128339165644649,2.34391113810547,21.4932780667849,53.1206286879008
"1","Chungnam","Male","60-64",44672,39446,0.468936493972753,0.532951810443419,1.1034297618687,-0.103429761868701,0.532951810443419,-0.0551230788416557,2.80256674932123,19.1493669286795,35.9307662596119
"1","Chungnam","Male","65-69",31574,33856,0.517438483875898,0.588074889285074,1.07083883577421,-0.0708388357742142,0.588074889285074,-0.0416585405050046,3.04452079768788,16.3468001793582,27.7971402574783
"1","Chungnam","Male","70-74",17076,21219,0.554093223658441,0.629733429790079,1.04348064341002,-0.0434806434100174,0.629733429790079,-0.0273812147040697,3.21712018571057,13.3022793816703,21.1236671778798
"1","Chungnam","Male","75-79",9034,12383,0.578185553532241,0.657114644494149,1.07425586408492,-0.0742558640849151,0.657114644494149,-0.0487946157297648,3.40755976179516,10.0851591959598,15.3476402945233
"1","Chungnam","Male","80-84",3893,6382,0.621119221411192,0.705909260223914,0.927942926082122,0.0720570739178775,0.705909260223914,0.0508657557432688,3.4023819117614,6.67759943416462,9.45957194561592
"1","Chungnam","Male","85+",1717,2336,0.576363187762151,0.655043504480645,1,0,0.655043504480645,0,3.27521752240322,3.27521752240322,5
"1","Daegu","Female","0-4",10193,68598,0.870632432638246,1,0.921788918157243,0.0782110818427575,1,0.0782110818427575,4.80447229539311,64.8476264150677,64.8476264150677
"1","Daegu","Female","5-9",16983,69024,0.802539328194217,0.921788918157243,0.989879365310313,0.0101206346896868,0.921788918157243,0.00932908890167108,4.58562186853204,60.0431541196746,65.137639362933
"1","Daegu","Female","10-14",15466,59764,0.794417120829456,0.912459829255571,1.02124461044953,-0.0212446104495345,0.912459829255571,-0.0193848536233834,4.61076128033632,55.4575322511426,60.7780534255272
