"cohort","org_region5","res_region5","cohortfer","wgtProp"
"1946-1950","Seoul","Metros",1.94496990541702,0.000118318663853547
"1946-1950","Rest Capital","Metros",2.04345783415551,0.000100034152963865
"1946-1950","Metros","Metros",2.19693589381532,0.0274491979590357
"1946-1950","Provinces","Metros",2.36202804259954,0.172164681794025
"1946-1950","Abroad","Metros",0.8,3.45569763862514e-07
"1946-1950","Seoul","Provinces",2.14934379242721,0.000256567580040196
"1946-1950","Rest Capital","Provinces",2.24081586657652,0.00044404166503791
"1946-1950","Metros","Provinces",2.34126776070885,0.0020247712070092
"1946-1950","Provinces","Provinces",2.67340091945461,0.513507313835042
"1946-1950","Abroad","Provinces",2.83453237410072,4.61128292898139e-07
"1951-1955","Seoul","Seoul",1.83352534562212,0.015929923363602
"1951-1955","Rest Capital","Seoul",1.90164275317114,0.00489165887640754
"1951-1955","Metros","Seoul",2.00188706633764,0.00250264667435847
"1951-1955","Provinces","Seoul",2.03512795311419,0.159379629190975
"1951-1955","Abroad","Seoul",1.48726114649682,5.0697960081196e-06
"1951-1955","Seoul","Rest Capital",1.84274809160305,0.00583769249903097
"1951-1955","Rest Capital","Rest Capital",1.95180091683039,0.0280447310469854
"1951-1955","Metros","Rest Capital",1.84668508287293,0.000993615434202803
"1951-1955","Provinces","Rest Capital",2.08994351808097,0.105114526732188
"1951-1955","Abroad","Rest Capital",0,5.38194905320552e-07
"1951-1955","Seoul","Metros",1.97305242528173,0.000219691160351849
"1951-1955","Rest Capital","Metros",1.96822177146721,0.000115418588420519
"1951-1955","Metros","Metros",2.04445668423951,0.0344047928301461
"1951-1955","Provinces","Metros",2.14371953043877,0.172316588793676
"1951-1955","Seoul","Provinces",1.88701246481705,0.000341315136030714
"1951-1955","Rest Capital","Provinces",1.89057851239669,0.000520972668350295
"1951-1955","Metros","Provinces",1.95644257703081,0.00278596592739184
"1951-1955","Provinces","Provinces",2.44754342001065,0.466594695655961
"1951-1955","Abroad","Provinces",0.530612244897959,5.27431007214141e-07
"1956-1960","Seoul","Seoul",1.70729804758297,0.0195743008621597
"1956-1960","Rest Capital","Seoul",1.80776467074809,0.00289366285330448
"1956-1960","Metros","Seoul",1.82749201113288,0.000967826174871837
"1956-1960","Provinces","Seoul",1.8884404711845,0.0863502581307613
"1956-1960","Abroad","Seoul",1.18754357425052,4.77662280217093e-05
"1956-1960","Seoul","Rest Capital",1.76926873660019,0.0105402760969254
"1956-1960","Rest Capital","Rest Capital",1.84676099289191,0.0462659009405104
"1956-1960","Metros","Rest Capital",1.85409384992935,0.00180636623729332
"1956-1960","Provinces","Rest Capital",1.90271745487154,0.164309449231741
"1956-1960","Abroad","Rest Capital",1.24917533620908,3.87638571980953e-05
"1956-1960","Seoul","Metros",1.79444310801058,0.000186918597162411
"1956-1960","Rest Capital","Metros",1.83781658014787,0.000107190418766068
"1956-1960","Metros","Metros",1.8667768038302,0.0416304418383677
"1956-1960","Provinces","Metros",1.94967338981646,0.124982251329271
"1956-1960","Abroad","Metros",1.14887831407206,5.99422693374977e-06
