"index","org_region5","sex","agegr","none","native","retention","year","age_lower","rx","rx_adj","lx","Sx","px","qx","dx","Lx","Tx","ex"
"1","Metros","Male","20-24",60871,199404,0.766128133704735,2000,20,0.766128133704735,0.766128133704735,0.866131742272243,0.866131742272243,0.914464183179876,0.0855358168201245,0.0740852860490938,4.14544549623848,14.8695836082982,17.1678081781055
"1","Metros","Male","25-29",95530,223538,0.700596737999423,2000,25,0.700596737999423,0.700596737999423,0.792046456223149,0.792046456223149,0.8840627909068,0.1159372090932,0.0918276556066716,3.73066314209906,10.7241381120597,13.5397842232607
"1","Metros","Male","30-34",102241,166370,0.61937150749597,2000,30,0.61937150749597,0.61937150749597,0.700218800616477,0.700218800616477,0.99834122542778,0.00165877457221997,0.00116150514145298,3.49819024022875,6.99347496996064,9.98755669485529
"1","Metros","Male","35-39",90133,146030,0.618344109788578,2000,35,0.618344109788578,0.618344109788578,0.699057295475024,0.699057295475024,0.999999,1e-06,6.99057295475024e-07,3.49528472973188,3.49528472973188,4.9999975
"1","Metros","Total","0-4",80666,588133,0.879386781379757,2000,0,0.879386781379757,0.879386781379757,1,1,0.926741672044956,0.0732583279550444,0.0732583279550444,4.81685418011239,32.9174445493213,32.9174445493213
"1","Metros","Total","5-9",141177,621795,0.814964376150108,2000,5,0.814964376150108,0.814964376150108,0.926741672044956,0.926741672044956,0.992716616614204,0.00728338338579571,0.00674981489709676,4.61683382298204,28.1005903692089,30.3219238077445
"1","Metros","Total","10-14",133614,543351,0.802627905430857,2000,10,0.802627905430857,0.809028678152841,0.919991857147859,0.919991857147859,0.999999,1e-06,9.19991857147859e-07,4.59995698575965,23.4837565462269,25.5260482620257
"1","Metros","Total","15-19",138635,612487,0.815429450874825,2000,15,0.815429450874825,0.809028678152841,0.919991857147859,0.919991857147859,0.945399986765099,0.0546000132349009,0.0502315675762742,4.47438036679861,18.8837995604672,20.5260507620257
"1","Metros","Total","20-24",142457,463371,0.764855701618281,2000,20,0.764855701618281,0.764855701618281,0.869760289571585,0.869760289571585,0.886192367437932,0.113807632562068,0.0989853594526404,4.10133804922632,14.4094191936686,16.5671155218712
"1","Metros","Total","25-29",208382,438384,0.677809284965505,2000,25,0.677809284965505,0.677809284965505,0.770774930118944,0.770774930118944,0.881255916934817,0.118744083065183,0.0915249623266049,3.62506224477821,10.3080811444423,13.3736590821027
"1","Metros","Total","30-34",220072,326451,0.597323442929209,2000,30,0.597323442929209,0.597323442929209,0.679249967792339,0.679249967792339,0.978509803102723,0.0214901968972774,0.0145972155503267,3.35975680008588,6.68301889966406,9.83882107699591
"1","Metros","Total","35-39",198479,279193,0.5844868445293,2000,35,0.5844868445293,0.5844868445293,0.664652752242013,0.664652752242013,0.999999,1e-06,6.64652752242013e-07,3.32326209957818,3.32326209957818,4.9999975
"1",NA,"Female","25-29",215,0,0,2000,25,0,0,NA,NA,0.999999,1e-06,NA,NA,NA,NA
"1",NA,"Male","0-4",56,0,0,2000,0,0,0,NA,NA,0.999999,1e-06,NA,NA,NA,NA
"1",NA,"Male","30-34",55,0,0,2000,30,0,0,NA,NA,0.999999,1e-06,NA,NA,NA,NA
"1",NA,"Male","35-39",51,0,0,2000,35,0,0,NA,NA,0.999999,1e-06,NA,NA,NA,NA
"1",NA,"Total","0-4",56,0,0,2000,0,0,0,NA,NA,0.999999,1e-06,NA,NA,NA,NA
"1",NA,"Total","25-29",215,0,0,2000,25,0,0,NA,NA,0.999999,1e-06,NA,NA,NA,NA
"1",NA,"Total","30-34",55,0,0,2000,30,0,0,NA,NA,0.999999,1e-06,NA,NA,NA,NA
"1",NA,"Total","35-39",51,0,0,2000,35,0,0,NA,NA,0.999999,1e-06,NA,NA,NA,NA
"1","Provinces","Female","0-4",40995,417800,0.910646367113853,2000,0,0.910646367113853,0.910646367113853,1,1,0.93667810901531,0.0633218909846902,0.0633218909846902,4.84169527253827,25.9685133377757,25.9685133377757
"1","Provinces","Female","5-9",68510,397489,0.852982517129865,2000,5,0.852982517129865,0.852982517129865,0.93667810901531,0.93667810901531,0.94936364401986,0.0506363559801403,0.0474299661669039,4.56481562965929,21.1268180652374,22.5550462446989
"1","Provinces","Female","10-14",87289,371621,0.809790590747641,2000,10,0.809790590747641,0.809790590747641,0.889248142848406,0.889248142848406,0.875014585306859,0.124985414693141,0.111143047899013,4.1683830944945,16.5620024355781,18.6247253579044
"1","Provinces","Female","15-19",185175,450245,0.708578577948444,2000,15,0.708578577948444,0.708578577948444,0.778105094949393,0.778105094949393,0.750519044046312,0.249480955953688,0.19412240292041,3.40521946744594,12.3936193410836,15.927950377821
"1","Provinces","Female","20-24",371351,421798,0.531801716953561,2000,20,0.531801716953561,0.531801716953561,0.583982692028983,0.583982692028983,0.816105359801567,0.183894640198433,0.107391287032782,2.65143524256296,8.98839987363769,15.3915518324841
"1","Provinces","Female","25-29",603818,463010,0.434006231557477,2000,25,0.434006231557477,0.434006231557477,0.476591404996201,0.476591404996201,0.882347555667901,0.117652444332099,0.0560721437454724,2.24277666561732,6.33696463107473,13.2964307888122
"1","Provinces","Female","30-34",759801,471532,0.382944337559377,2000,30,0.382944337559377,0.382944337559377,0.420519261250728,0.420519261250728,0.964804265271851,0.0351957347281489,0.0148004843670578,2.065595095336,4.09418796545741,9.73602957752822
"1","Provinces","Female","35-39",860384,504149,0.36946633023899,2000,35,0.36946633023899,0.36946633023899,0.40571877688367,0.40571877688367,0.999999,1e-06,4.0571877688367e-07,2.02859287012141,2.02859287012141,4.9999975
"1","Provinces","Male","0-4",42492,472394,0.917472994021978,2000,0,0.917472994021978,0.917472994021978,1,1,0.928148818931421,0.0718511810685795,0.0718511810685795,4.82037204732855,26.6272672133273,26.6272672133273
"1","Provinces","Male","5-9",81215,465877,0.851551475802973,2000,5,0.851551475802973,0.851551475802973,0.928148818931421,0.928148818931421,0.945602785508714,0.054397214491286,0.0504887103832462,4.51452231869899,21.8068951659988,23.4950416584111
"1","Provinces","Male","10-14",101567,419903,0.805229447523347,2000,10,0.805229447523347,0.805229447523347,0.877660108548174,0.877660108548174,0.890016801719044,0.109983198280956,0.0965278657417395,4.14698087838652,17.2923728472998,19.702812830248
"1","Provinces","Male","15-19",189617,479622,0.716667737534722,2000,15,0.716667737534722,0.716667737534722,0.781132242806435,0.781132242806435,0.801413094316237,0.198586905683763,0.155122635028747,3.51785462646031,13.1453919689133,16.8286382875258
"1","Provinces","Male","20-24",256725,346407,0.574346909134319,2000,20,0.574346909134319,0.574346909134319,0.626009607777687,0.626009607777687,0.819713475782113,0.180286524217887,0.112861096313242,2.84789529810533,9.62753734245297,15.379216585238
"1","Provinces","Male","25-29",529153,470758,0.470799901191206,2000,25,0.470799901191206,0.470799901191206,0.513148511464446,0.513148511464446,0.88075012764608,0.11924987235392,0.0611928944907394,2.41276032109538,6.77964204434763,13.2118517210536
"1","Provinces","Male","30-34",733550,519647,0.414657073069916,2000,30,0.414657073069916,0.414657073069916,0.451955616973706,0.451955616973706,0.954959185739169,0.0450408142608307,0.0203564489982519,2.2088869623729,4.36688172325225,9.66219150564581
"1","Provinces","Male","35-39",852632,558965,0.395980580859835,2000,35,0.395980580859835,0.395980580859835,0.431599167975454,0.431599167975454,0.999999,1e-06,4.31599167975454e-07,2.15799476087935,2.15799476087935,4.9999975
"1","Provinces","Total","0-4",83487,890194,0.914256311872163,2000,0,0.914256311872163,0.914256311872163,1,1,0.932134360415134,0.0678656395848659,0.0678656395848659,4.83033590103784,26.2769829834305,26.2769829834305
"1","Provinces","Total","5-9",149725,863366,0.852209722522459,2000,5,0.852209722522459,0.852209722522459,0.932134360415134,0.932134360415134,0.947377705255429,0.0526222947445714,0.0490510490553077,4.5380441794374,21.4466470823927,23.0081069780984
"1","Provinces","Total","10-14",188856,791524,0.807364491319692,2000,10,0.807364491319692,0.807364491319692,0.883083311359826,0.883083311359826,0.882783436543122,0.117216563456878,0.103511991003719,4.15663657928984,16.9086029029553,19.1472341119417
"1","Provinces","Total","15-19",374792,929867,0.712728000190088,2000,15,0.712728000190088,0.712728000190088,0.779571320356108,0.779571320356108,0.771934551739576,0.228065448260424,0.177793282627987,3.45337339521057,12.7519663236655,16.3576647712494
"1","Provinces","Total","20-24",628076,768205,0.55017936933898,2000,20,0.55017936933898,0.55017936933898,0.601778037728121,0.601778037728121,0.821200208015511,0.178799791984489,0.107597787966622,2.73989571872405,9.29859292845488,15.4518648828722
"1","Provinces","Total","25-29",1132971,933768,0.451807412547012,2000,25,0.451807412547012,0.451807412547012,0.494180249761499,0.494180249761499,0.882987377231972,0.117012622768028,0.0578253271447519,2.32633793094561,6.55869720973083,13.2718723844107
"1","Provinces","Total","30-34",1493351,991179,0.39894024221885,2000,30,0.39894024221885,0.39894024221885,0.436354922616747,0.436354922616747,0.959913702225745,0.0400862977742552,0.017491853363277,2.13804497967554,4.23235927878522,9.69935036690883
"1","Provinces","Total","35-39",1713016,1063114,0.382948204875132,2000,35,0.382948204875132,0.382948204875132,0.41886306925347,0.41886306925347,0.999999,1e-06,4.1886306925347e-07,2.09431429910968,2.09431429910968,4.9999975
"1","Rest Capital","Female","0-4",37786,355302,0.903873941712797,2000,0,0.903873941712797,0.903873941712797,1,1,0.936026772069729,0.0639732279302706,0.0639732279302706,4.84006693017432,33.7012626180382,33.7012626180382
"1","Rest Capital","Female","5-9",59761,328424,0.846050208019372,2000,5,0.846050208019372,0.846050208019372,0.936026772069729,0.936026772069729,0.970942809945739,0.0290571900542612,0.0271983078119068,4.61213809081888,28.8611956878639,30.8337288516293
"1","Rest Capital","Female","10-14",53817,247622,0.821466366329506,2000,10,0.821466366329506,0.821466366329506,0.908828464257823,0.908828464257823,0.965478665671906,0.0345213343280945,0.0313739712615329,4.46570739313528,24.249057597045,26.6816660686872
"1","Rest Capital","Female","15-19",56444,216375,0.79310825125816,2000,15,0.79310825125816,0.79310825125816,0.87745449299629,0.87745449299629,0.945208978575688,0.054791021424312,0.0480766279246186,4.2670808951699,19.7833502039097,22.5462976847432
"1","Rest Capital","Female","20-24",57002,170690,0.749653040071676,2000,20,0.749653040071676,0.749653040071676,0.829377865071671,0.829377865071671,0.962393848057974,0.0376061519420259,0.0311897100112383,4.06891505033026,15.5162693087398,18.7083233857453
"1","Rest Capital","Female","25-29",62101,160852,0.721461473942939,2000,25,0.721461473942939,0.721461473942939,0.798188155060433,0.798188155060433,0.955767326839959,0.0442326731600406,0.035305995783004,3.90267578584465,11.4473542584096,14.3416739346913
"1","Rest Capital","Female","30-34",64109,142394,0.68954930436846,2000,30,0.68954930436846,0.68954930436846,0.762882159277429,0.762882159277429,0.985294147983788,0.0147058520162122,0.0112188321401423,3.78636371603679,7.5446784725649,9.88970364664304
"1","Rest Capital","Female","35-39",71613,151765,0.679408894340535,2000,35,0.679408894340535,0.679408894340535,0.751663327137287,0.751663327137287,0.999999,1e-06,7.51663327137287e-07,3.75831475652812,3.75831475652812,4.9999975
"1","Rest Capital","Male","0-4",39961,390346,0.907133744047854,2000,0,0.907133744047854,0.907133744047854,1,1,0.929504701754818,0.070495298245182,0.070495298245182,4.82376175438704,34.7100842935614,34.7100842935614
"1","Rest Capital","Male","5-9",69050,371278,0.843185080212932,2000,5,0.843185080212932,0.843185080212932,0.929504701754818,0.929504701754818,0.962479339874031,0.0375206601259693,0.034875630000033,4.56033443377401,29.8863225391743,32.1529546679557
"1","Rest Capital","Male","10-14",60464,260382,0.811548219394975,2000,10,0.811548219394975,0.811548219394975,0.894629071754785,0.894629071754785,0.977900218020641,0.0220997819793588,0.0197711074381769,4.42371759017848,25.3259881054003,28.30892590571
"1","Rest Capital","Male","15-19",57397,220707,0.793613180680609,2000,15,0.793613180680609,0.793613180680609,0.874857964316608,0.874857964316608,0.967421744241588,0.0325782557584121,0.0285013465137902,4.30303645529856,20.9022705152218,23.8921874953148
"1","Rest Capital","Male","20-24",38821,128337,0.767758647507149,2000,20,0.767758647507149,0.767758647507149,0.846356617802818,0.846356617802818,0.977861943293235,0.0221380567067653,0.0187366907990648,4.18494136201643,16.5992340599233,19.612576673667
"1","Rest Capital","Male","25-29",54746,162746,0.748284994390598,2000,25,0.748284994390598,0.750761963031526,0.827619927003753,0.827619927003753,0.999999,1e-06,8.27619927003753e-07,4.13809756596895,12.4142926979068,14.9999925
"1","Rest Capital","Male","30-34",52271,156536,0.749668354030277,2000,30,0.749668354030277,0.750761963031526,0.827619927003753,0.827619927003753,0.999999,1e-06,8.27619927003753e-07,4.13809756596895,8.2761951319379,9.999995
"1","Rest Capital","Male","35-39",57440,176372,0.754332540673704,2000,35,0.754332540673704,0.750761963031526,0.827619927003753,0.827619927003753,0.999999,1e-06,8.27619927003753e-07,4.13809756596895,4.13809756596895,4.9999975
"1","Rest Capital","Total","0-4",77747,745648,0.905577517473388,2000,0,0.905577517473388,0.905577517473388,1,1,0.932584420977299,0.0674155790227015,0.0674155790227015,4.83146105244325,34.2070145800169,34.2070145800169
"1","Rest Capital","Total","5-9",128811,699702,0.844527484782979,2000,5,0.844527484782979,0.844527484782979,0.932584420977299,0.932584420977299,0.966638328011212,0.0333616719887878,0.0311125755544982,4.58514066600025,29.3755535275737,31.4990824067055
"1","Rest Capital","Total","10-14",114281,508004,0.816352635850133,2000,10,0.816352635850133,0.816352635850133,0.9014718454228,0.9014718454228,0.97183876552953,0.0281612344704705,0.0253865600074792,4.4438928270953,24.7904128615734,27.4999302390264
"1","Rest Capital","Total","15-19",113841,437082,0.793363137861371,2000,15,0.793363137861371,0.793363137861371,0.876085285415321,0.876085285415321,0.954566619884047,0.0454333801159529,0.0398035157862674,4.28091763761094,20.3465200344781,23.2243599717949
"1","Rest Capital","Total","20-24",95823,299027,0.75731796884893,2000,20,0.75731796884893,0.75731796884893,0.836281769629054,0.836281769629054,0.970143287673529,0.0298567123264714,0.024968624219687,4.11898728759605,16.0656023968672,19.2107528590433
"1","Rest Capital","Total","25-29",116847,323598,0.73470694411334,2000,25,0.73470694411334,0.73470694411334,0.811313145409367,0.811313145409367,0.979677128528386,0.0203228714716142,0.0164882127773856,4.01534519510337,11.9466151092711,14.7250357976675
"1","Rest Capital","Total","30-34",116380,298930,0.719775589318822,2000,30,0.719775589318822,0.719775589318822,0.794824932631981,0.794824932631981,0.997152005001043,0.00284799499895694,0.00226365743318217,3.96846551957695,7.93126991416776,9.97863754462781
"1","Rest Capital","Total","35-39",129053,328137,0.717725672040071,2000,35,0.717725672040071,0.717725672040071,0.792561275198799,0.792561275198799,0.999999,1e-06,7.92561275198799e-07,3.96280439459081,3.96280439459081,4.9999975
"1","Seoul","Female","0-4",64193,248398,0.794642200191304,2000,0,0.794642200191304,0.794642200191304,1,1,0.81729094859412,0.18270905140588,0.18270905140588,4.5432273714853,30.36142970324,30.36142970324
