"org_region5","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Metros","Total","70-74",17694,41586,0.701518218623482,0.797735687501239,0.999999,1e-06,0.63318831299062,6.3318831299062e-07,3.16593998198232,12.3594027839401,19.519316023957,2000
"Metros","Total","75-79",9178,25490,0.735260182300681,0.836105565684145,0.993580102354844,0.00641989764515571,0.633187679802307,0.00406500009450444,3.15577589877528,9.1934628019578,14.5193330432901,2000
"Metros","Total","80-84",5016,13599,0.730539887187752,0.830737853531907,0.94626625006973,0.0537337499302705,0.629122679707803,0.0338051207468807,3.06110059667181,6.03768690318253,9.59699450985735,2000
"Metros","Total","85+",2880,6449,0.691285239575517,0.786099193452614,0.999999,1e-06,0.595317558960922,5.95317558960922e-07,2.97658630651071,2.97658630651071,4.9999975,2000
"NA","Female","25-29",215,0,0,NA,0.999999,1e-06,1,1e-06,4.9999975,9.9999900000025,9.9999900000025,2000
"NA","Female","70-74",55,0,0,NA,0.999999,1e-06,0.999999,9.99999e-07,4.9999925000025,4.9999925000025,4.9999975,2000
"NA","Male","0-4",56,0,0,NA,0.999999,1e-06,1,1e-06,4.9999975,19.999960000035,19.999960000035,2000
"NA","Male","30-34",55,0,0,NA,0.999999,1e-06,0.999999,9.99999e-07,4.9999925000025,14.999962500035,14.9999775000125,2000
"NA","Male","35-39",51,0,0,NA,0.999999,1e-06,0.999998000001,9.99998000001e-07,4.99998750001,9.9999700000325,9.9999900000025,2000
"NA","Male","75-79",47,0,0,NA,0.999999,1e-06,0.999997000003,9.99997000003e-07,4.9999825000225,4.9999825000225,4.9999975,2000
"NA","Total","0-4",56,0,0,NA,0.999999,1e-06,1,1e-06,4.9999975,29.9999100001375,29.9999100001375,2000
"NA","Total","25-29",215,0,0,NA,0.999999,1e-06,0.999999,9.99999e-07,4.9999925000025,24.9999125001375,24.999937500075,2000
"NA","Total","30-34",55,0,0,NA,0.999999,1e-06,0.999998000001,9.99998000001e-07,4.99998750001,19.999920000135,19.999960000035,2000
"NA","Total","35-39",51,0,0,NA,0.999999,1e-06,0.999997000003,9.99997000003e-07,4.9999825000225,14.999932500125,14.9999775000125,2000
"NA","Total","70-74",55,0,0,NA,0.999999,1e-06,0.999996000006,9.99996000006e-07,4.99997750004,9.9999500001025,9.9999900000025,2000
"NA","Total","75-79",47,0,0,NA,0.999999,1e-06,0.99999500001,9.9999500001e-07,4.9999725000625,4.9999725000625,4.9999975,2000
"Provinces","Female","0-4",40995,417800,0.910646367113853,1,0.93667810901531,0.0633218909846902,1,0.0633218909846902,4.84169527253827,46.1893677307676,46.1893677307676,2000
"Provinces","Female","5-9",68510,397489,0.852982517129865,0.93667810901531,0.94936364401986,0.0506363559801403,0.93667810901531,0.0474299661669039,4.56481562965929,41.3476724582294,44.1428833024575,2000
"Provinces","Female","10-14",87289,371621,0.809790590747641,0.889248142848406,0.875014585306859,0.124985414693141,0.889248142848406,0.111143047899013,4.1683830944945,36.7828568285701,41.3639962302858,2000
"Provinces","Female","15-19",185175,450245,0.708578577948444,0.778105094949393,0.750519044046312,0.249480955953688,0.778105094949393,0.19412240292041,3.40521946744594,32.6144737340756,41.9152553373228,2000
"Provinces","Female","20-24",371351,421798,0.531801716953561,0.583982692028983,0.816105359801567,0.183894640198433,0.583982692028983,0.107391287032782,2.65143524256296,29.2092542666296,50.017328707372,2000
"Provinces","Female","25-29",603818,463010,0.434006231557477,0.476591404996201,0.882347555667901,0.117652444332099,0.476591404996201,0.0560721437454724,2.24277666561732,26.5578190240667,55.7245026780926,2000
"Provinces","Female","30-34",759801,471532,0.382944337559377,0.420519261250728,0.964804265271851,0.0351957347281489,0.420519261250728,0.0148004843670578,2.065595095336,24.3150423584494,57.8214712118784,2000
"Provinces","Female","35-39",860384,504149,0.36946633023899,0.40571877688367,0.999999,1e-06,0.40571877688367,4.0571877688367e-07,2.02859287012141,22.2494472631134,54.8395798538376,2000
"Provinces","Female","40-44",829332,497223,0.374822755181655,0.411600780190443,0.999999,1e-06,0.405718371164894,4.05718371164893e-07,2.02859084152854,20.220854392992,49.8396321934698,2000
"Provinces","Female","45-49",627230,393229,0.385345222101035,0.423155723249986,0.999999,1e-06,0.405717965446522,4.05717965446522e-07,2.0285888129377,18.1922635514634,44.8396795331493,2000
"Provinces","Female","50-54",480157,348172,0.420330569133762,0.461573871387564,0.999999,1e-06,0.405717559728557,4.05717559728557e-07,2.02858678434889,16.1636747385257,39.8397218728712,2000
"Provinces","Female","55-59",361277,346085,0.48926150966549,0.537268392357535,0.999999,1e-06,0.405717154010997,4.05717154010997e-07,2.0285847557621,14.1350879541768,34.8397592126304,2000
"Provinces","Female","60-64",309557,382801,0.552894600770122,0.607145233030943,0.999999,1e-06,0.405716748293843,4.05716748293843e-07,2.02858272717735,12.1065031984147,29.839791552422,2000
"Provinces","Female","65-69",231775,339664,0.594401152178973,0.652724453360344,0.999999,1e-06,0.405716342577095,4.05716342577095e-07,2.02858069859462,10.0779204712374,24.8398188922409,2000
"Provinces","Female","70-74",167367,256730,0.6053567933751,0.664755074237743,0.999999,1e-06,0.405715936860752,4.05715936860752e-07,2.02857867001392,8.04933977264277,19.8398412320821,2000
"Provinces","Female","75-79",115196,179355,0.608909832253158,0.668656741236447,0.987189475506636,0.012810524493364,0.405715531144815,0.00519742874906882,2.0155840838514,6.02076110262885,14.8398585719407,2000
"Provinces","Female","80-84",61629,92872,0.601109377932829,0.660090897675185,0.999999,1e-06,0.400518102395747,4.00518102395747e-07,2.00258951068348,4.00517701877744,9.9999900000025,2000
"Provinces","Female","85+",36316,60854,0.626263249974272,0.687712895576702,0.999999,1e-06,0.400517701877644,4.00517701877644e-07,2.00258750809397,2.00258750809397,4.9999975,2000
"Provinces","Male","0-4",42492,472394,0.917472994021978,1,0.92814881893142,0.0718511810685795,1,0.0718511810685795,4.82037204732855,48.1432824171168,48.1432824171168,2000
"Provinces","Male","5-9",81215,465877,0.851551475802973,0.92814881893142,0.945602785508714,0.054397214491286,0.92814881893142,0.0504887103832462,4.51452231869899,43.3229103697883,46.6766853398209,2000
