"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex"
"Busan","Male","10-14",38823,106888,0.733561639135,2000,10,0.733561639135,0.748160329259838,0.999999,1.00000000002876e-06,0.876393522976662,8.76393523001863e-07,4.3819654238995,22.4835345014962,25.654610528306
"Busan","Male","15-19",39396,126663,0.762759019384676,2000,15,0.762759019384676,0.748160329259838,0.970025685065171,0.0299743149348295,0.876392646583139,0.0262692691952517,4.31629005992756,18.1015690775967,20.6546336829396
"Busan","Male","20-24",32877,86996,0.725734735928858,2000,20,0.725734735928858,0.725734735928858,0.913469542065087,0.0865304579349125,0.850123377387887,0.0735615651465483,4.06671297407306,13.7852790176691,16.2156216195656
"Busan","Male","25-29",48495,95380,0.662936576889661,2000,25,0.662936576889661,0.662936576889661,0.801189820269801,0.198810179730199,0.776561812241339,0.154388393463309,3.49683807754842,9.71856604359608,12.5148647414763
"Busan","Male","30-34",54832,62115,0.531138036888505,2000,30,0.531138036888505,0.531138036888505,0.999999,1.00000000002876e-06,0.622173418778029,6.2217341879592e-07,3.1108655384566,6.22172796604766,9.9999900000025
"Busan","Male","35+",148979,205587,0.579827168989694,2000,35,0.579827168989694,0.579827168989694,0.999999,1.00000000002876e-06,0.622172796604611,6.22172796622502e-07,3.11086242759106,3.11086242759106,4.9999975
"Busan","Total","0-4",32380,186480,0.852051539797131,2000,0,0.852051539797131,0.852051539797131,0.900384856207874,0.0996151437921258,1,0.0996151437921258,4.75096214051969,31.3464815950172,31.3464815950172
"Busan","Total","5-9",63706,209915,0.767174303141937,2000,5,0.767174303141937,0.767174303141937,0.974243394723054,0.0257566052769457,0.900384856207874,0.0231908573386857,4.44394713769266,26.5955194544975,29.5379462139214
"Busan","Total","10-14",74008,201121,0.731006182554365,2000,10,0.731006182554365,0.747414497437294,0.999999,1.00000000002876e-06,0.877193998869188,8.77193998894413e-07,4.38596780136094,22.1515723168048,25.2527631805062
"Busan","Total","15-19",77592,250941,0.763822812320224,2000,15,0.763822812320224,0.747414497437294,0.97088393422977,0.0291160657702303,0.87719312167519,0.0255404126238884,4.32211457681623,17.7656045154439,20.2527859332921
"Busan","Total","20-24",76885,203362,0.725652727772287,2000,20,0.725652727772287,0.725652727772287,0.867498502355018,0.132501497644982,0.851652709051301,0.112845259422703,3.97615039669975,13.4434899386277,15.7851783899132
"Busan","Total","25-29",108934,185087,0.629502654572292,2000,25,0.629502654572292,0.629502654572292,0.825148909145114,0.174851090854886,0.738807449628598,0.129181288499277,3.3710840268948,9.46733954192792,12.8143531128269
"Busan","Total","30-34",113184,122338,0.519433428724281,2000,30,0.519433428724281,0.519433428724281,0.999999,1.00000000002876e-06,0.609626161129321,6.09626161146851e-07,3.0481292815812,6.09625551503312,9.9999900000025
"Busan","Total","35+",326421,412504,0.558248807389113,2000,35,0.558248807389113,0.558248807389113,0.999999,1.00000000002876e-06,0.60962555150316,6.0962555152069e-07,3.04812623345192,3.04812623345192,4.9999975
"Chungbuk","Female","0-4",5981,41642,0.874409424017807,2000,0,0.874409424017807,0.874409424017807,0.909177695439415,0.0908223045605854,1,0.0908223045605854,4.77294423859854,25.4642497148748,25.4642497148748
"Chungbuk","Female","5-9",9369,36332,0.794993544999015,2000,5,0.794993544999015,0.794993544999015,0.974609494212716,0.0253905057872842,0.909177695439415,0.0230844815377242,4.48817727335276,20.6913054762763,22.7582634066666
"Chungbuk","Female","10-14",9513,32731,0.774808256793864,2000,10,0.774808256793864,0.774808256793864,0.913703017120898,0.0862969828791025,0.88609321390169,0.0764671709093631,4.23929814223504,16.2031282029235,18.2860312535033
"Chungbuk","Female","15-19",16186,39235,0.707944641922737,2000,15,0.707944641922737,0.707944641922737,0.796449471357353,0.203550528642647,0.809626042992327,0.164799809053943,3.63613069232678,11.9638300606885,14.776982736957
"Chungbuk","Female","20-24",28557,36917,0.563842135809634,2000,20,0.563842135809634,0.563842135809634,0.740838690096443,0.259161309903557,0.644826233938385,0.167114011447649,2.8063461410728,8.32769936836167,12.9146410770214
"Chungbuk","Female","25-29",48690,34929,0.41771606931439,2000,25,0.41771606931439,0.41771606931439,0.724633104032584,0.275366895967416,0.477712222490735,0.131546131872969,2.05969578277125,5.52135322728887,11.5579065540781
"Chungbuk","Female","30-34",70848,30754,0.302690891911577,2000,30,0.302690891911577,0.302690891911577,0.999999,1.00000000002876e-06,0.346166090617766,3.4616609062772e-07,1.7308295876736,3.46165744451762,9.9999900000025
"Chungbuk","Female","35+",399897,218745,0.353588990078268,2000,35,0.353588990078268,0.353588990078268,0.999999,1.00000000002876e-06,0.346165744451675,3.4616574446163e-07,1.73082785684402,1.73082785684402,4.9999975
"Chungbuk","Male","0-4",6678,45281,0.871475586520141,2000,0,0.871475586520141,0.871475586520141,0.924396476183263,0.0756035238167372,1,0.0756035238167372,4.81099119045816,27.2858710758287,27.2858710758287
"Chungbuk","Male","5-9",10924,44366,0.802423584735034,2000,5,0.802423584735034,0.80558896125896,0.999999,1.00000000002876e-06,0.924396476183263,9.24396476209844e-07,4.62198006992512,22.4748798853706,24.3130306793975
"Chungbuk","Male","10-14",8983,37988,0.808754337782887,2000,10,0.808754337782887,0.80558896125896,0.899948880649285,0.100051119350715,0.924395551786787,0.0924868096790899,4.39076073473621,17.8528998154455,19.31305249245
"Chungbuk","Male","15-19",16081,42393,0.724988883948422,2000,15,0.724988883948422,0.724988883948422,0.799340055693458,0.200659944306542,0.831908742107697,0.166930761859456,3.74221680588984,13.4621390807093,16.1822305732742
"Chungbuk","Male","20-24",21415,29514,0.57951265487247,2000,20,0.57951265487247,0.57951265487247,0.791394025436873,0.208605974563127,0.664977980248241,0.138718379632704,2.97809395215945,9.71992227481941,14.6169084744594
