"org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Busan","Female","50-54",17233,23456,0.576470299098036,0.678061868386548,0.963822185370275,0.0361778146297254,0.52533154410246,0.0190053472216862,2.57914435245809,20.0515747592522,38.1693712939145,2000
"Busan","Female","55-59",10823,13532,0.555614863477725,0.653531071804574,0.999999,1e-06,0.506326196880774,5.06326196880774e-07,2.53162971858838,17.4724304067941,34.5082488609777,2000
"Busan","Female","60-64",8441,10899,0.563547052740434,0.662861153649699,0.999999,1e-06,0.506325690554577,5.06325690554577e-07,2.53162718695866,14.9408006882058,29.5082808692586,2000
"Busan","Female","65-69",5453,10400,0.656027250362707,0.771639169944085,0.999999,1e-06,0.506325184228887,5.06325184228887e-07,2.53162465533147,12.4091735012471,24.5083078775664,2000
"Busan","Female","70-74",3121,7908,0.717018768700698,0.843379245616149,0.999999,1e-06,0.506324677903703,5.06324677903702e-07,2.53162212370682,9.87754884591563,19.5083298858963,2000
"Busan","Female","75-79",1724,4885,0.739143592071418,0.869403134610855,0.999999,1e-06,0.506324171579025,5.06324171579025e-07,2.53161959208469,7.34592672220881,14.5083468942432,2000
"Busan","Female","80-84",829,2670,0.763075164332666,0.897552176506473,0.934448165163005,0.0655518348369954,0.506323665254853,0.0331904452788483,2.44864221307714,4.81430713012412,9.50835890260212,2000
"Busan","Female","85+",466,1158,0.713054187192118,0.838715984474535,0.999999,1e-06,0.473133219976005,4.73133219976005e-07,2.36566491704697,2.36566491704697,4.9999975,2000
"Busan","Male","0-4",17147,100042,0.853680806219014,1,0.907834443422334,0.0921655565776657,1,0.0921655565776657,4.76958610855584,59.5607546574606,59.5607546574606,2000
"Busan","Male","5-9",33499,115386,0.775000839574168,0.907834443422334,0.94653012187453,0.0534698781254703,0.907834443422334,0.0485417970478964,4.41781772449193,54.7911685489047,60.3537009923904,2000
"Busan","Male","10-14",38823,106888,0.733561639135,0.859292646374438,0.999999,1e-06,0.859292646374438,8.59292646374438e-07,4.29646108364057,50.3733508244128,58.6218804931592,2000
"Busan","Male","15-19",39396,126663,0.762759019384676,0.893494399578885,0.951460051582627,0.0485399484173732,0.859291787081792,0.0417099790204226,4.1921839878579,46.0768897407722,53.6219366150958,2000
"Busan","Male","20-24",32877,86996,0.725734735928858,0.850124227512114,0.913469542065087,0.0865304579349127,0.817581808061369,0.0707457282508041,3.91104471967983,41.8847057529143,51.2299874335883,2000
"Busan","Male","25-29",48495,95380,0.662936576889661,0.776562588803927,0.801189820269802,0.198810179730198,0.746836079810565,0.148478615256135,3.36298386091249,37.9736610332345,50.8460451493807,2000
"Busan","Male","30-34",54832,62115,0.531138036888505,0.62217404095207,0.999999,1e-06,0.59835746455443,5.9835746455443e-07,2.99178582687849,34.610677172322,57.842810063538,2000
"Busan","Male","35-39",41519,51590,0.55408177512378,0.649050290327868,0.999543621926599,0.000456378073401487,0.598356866196965,0.000273076953801522,2.99110163860032,31.6188913454435,52.8428654064034,2000
"Busan","Male","40-44",42579,52853,0.553828904350742,0.648754078006828,0.999999,1e-06,0.598083789243164,5.98083789243163e-07,2.99041745100634,28.6277897068432,47.8658512765742,2000
"Busan","Male","45-49",29748,37510,0.55770317285676,0.653292388435966,0.999999,1e-06,0.598083191159374,5.98083191159374e-07,2.99041446058889,25.6373722558369,42.8658966424708,2000
"Busan","Male","50-54",16451,23705,0.590322741308895,0.691502886100319,0.999999,1e-06,0.598082593076183,5.98082593076183e-07,2.99041147017443,22.646957795248,37.8659370084078,2000
"Busan","Male","55-59",7381,15035,0.670726266952177,0.785687416263756,0.999999,1e-06,0.59808199499359,5.9808199499359e-07,2.99040847976296,19.6565463250735,32.8659723743802,2000
"Busan","Male","60-64",5094,10516,0.673670723894939,0.789136547275385,0.999999,1e-06,0.598081396911595,5.98081396911595e-07,2.99040548935448,16.6661378453106,27.866002740383,2000
"Busan","Male","65-69",3438,7586,0.688134978229318,0.80607994605981,0.998789826028627,0.00121017397137313,0.598080798830198,0.000723781815522354,2.98859453961218,13.6757323559561,22.8660281064111,2000
"Busan","Male","70-74",1581,3475,0.687302215189873,0.805104449090243,0.999999,1e-06,0.597357017014676,5.97357017014676e-07,2.98678359168084,10.6871378163439,17.8907044061413,2000
"Busan","Male","75-79",821,2591,0.759378663540445,0.889534657460279,0.934550117652918,0.0654498823470823,0.597356419657659,0.039096907385868,2.88903982982362,7.70035422466307,12.8907197968611,2000
"Busan","Male","80-84",207,506,0.709677419354839,0.831314718785852,0.815789473684211,0.184210526315789,0.55825951227179,0.102837278576382,2.534204364918,4.81131439483945,8.61841901315789,2000
"Busan","Male","85+",160,220,0.578947368421053,0.678177796904248,0.999999,1e-06,0.455422233695408,4.55422233695408e-07,2.27711002992146,2.27711002992146,4.9999975,2000
"Busan","Total","0-4",32380,186480,0.85205153979713,1,0.900384856207874,0.0996151437921258,1,0.0996151437921258,4.75096214051969,58.7181827432404,58.7181827432404,2000
"Busan","Total","5-9",63706,209915,0.767174303141937,0.900384856207874,0.952855406601282,0.0471445933987183,0.900384856207874,0.0424482779482837,4.39580358616866,53.9672206027207,59.9379479015373,2000
"Busan","Total","10-14",74008,201121,0.731006182554365,0.85793657825959,0.999999,1e-06,0.85793657825959,8.5793657825959e-07,4.28968074645651,49.571417016552,57.7798152832143,2000
"Busan","Total","15-19",77592,250941,0.763822812320224,0.896451419478787,0.950027566691823,0.0499724333081774,0.857935720323012,0.0428731355665448,4.1824957626987,45.2817362700955,52.7798705630848,2000
"Busan","Total","20-24",76885,203362,0.725652727772287,0.851653560704862,0.867498502355018,0.132501497644982,0.815062584756467,0.107997013154622,3.80532039089578,41.0992405073968,50.4246437955153,2000
